video_id,task,text,gold_label,prediction
00019,AV Captioning,Describe what you see and hear in a single sentence.,A woman speaks softly as water splashes and trickles and she sitting on a large rock in the middle of a lake .,A woman is standing on a rock in the water with a boat in the background.
01360,Video-driven Audio Hallucination,Is the man making sound in the audio?,No,"Yes, the man is making sound in the audio."
01360,Video-driven Audio Hallucination,Is the woman making sound in the audio?,No,"Yes, the woman is making sound in the audio."
01360,AV Matching,Are the contexts of audio and visual content matching?,Yes,"Yes, the contexts of audio and visual content are matching."
01360,AV Captioning,Describe what you see and hear in a single sentence.,"In a dimly lit bar, a man and a woman danced to music, with the lights lit.",A man and woman dance together in a nightclub.
00328,Video-driven Audio Hallucination,Is the woman making sound in the audio?,No,"Yes, the woman is making sound in the audio."
00328,Video-driven Audio Hallucination,Is the wooden door making sound in the audio?,No,"No, the wooden door is not making sound in the audio."
00328,Audio-driven Video Hallucination,Is the man visible in the video?,No,"Yes, the man is visible in the video."
00328,AV Matching,Are the contexts of audio and visual content matching?,No,"Yes, the contexts of audio and visual content are matching."
00554,Video-driven Audio Hallucination,Is the hood making sound in the audio?,Yes,"Yes, the hood is making sound in the audio."
00554,Video-driven Audio Hallucination,Is the engine making sound in the audio?,Yes,"Yes, the engine is making sound in the audio."
00554,Audio-driven Video Hallucination,Is the hood visible in the video?,Yes,"Yes, the hood is visible in the video."
00554,Audio-driven Video Hallucination,Is the engine visible in the video?,Yes,"Yes, the engine is visible in the video."
00554,Audio-driven Video Hallucination,Is the man visible in the video?,No,"No, the man is not visible in the video."
00554,AV Matching,Are the contexts of audio and visual content matching?,Yes,"Yes, the contexts of audio and visual content are matching."
00554,AV Captioning,Describe what you see and hear in a single sentence.,The engine vibrates as a man speaks while looking under the hood at the exposed engine of a car.,A car engine with a blue wire hanging from it is being revved up.
02208,Video-driven Audio Hallucination,Is the man making sound in the audio?,Yes,"Yes, the man is making sound in the audio."
02208,Video-driven Audio Hallucination,Is the child making sound in the audio?,Yes,"Yes, the child is making sound in the audio."
02208,Video-driven Audio Hallucination,Is the sofa making sound in the audio?,No,"No, the sofa is not making sound in the audio."
02208,Video-driven Audio Hallucination,Is the woman making sound in the audio?,Yes,"Yes, the woman is making sound in the audio."
02208,AV Matching,Are the contexts of audio and visual content matching?,Yes,"Yes, the contexts of audio and visual content are matching."
02208,AV Captioning,Describe what you see and hear in a single sentence.,"In the room, a child with short hair stood at the table and snorted to the man beside him, who giggled with amusement. Behind her, the woman lay on the sofa watching.",A woman and a baby are sitting at a table with a laptop and a phone.
02274,Video-driven Audio Hallucination,Is the water making sound in the audio?,Yes,"Yes, the water is making sound in the audio."
02274,Video-driven Audio Hallucination,Is the child making sound in the audio?,No,"Yes, the child is making sound in the audio."
02274,Audio-driven Video Hallucination,Is the water visible in the video?,Yes,"Yes, the water is visible in the video."
02274,Audio-driven Video Hallucination,Is the woman visible in the video?,No,"Yes, the woman is visible in the video."
02274,AV Matching,Are the contexts of audio and visual content matching?,Yes,"Yes, the contexts of audio and visual content are matching."
02274,AV Captioning,Describe what you see and hear in a single sentence.,"With the sound of the water, a child bathed in the bathtub, his hands were moving, the water from the faucet rushed toward the child's body, the child kissed the faucet, and there was a voice beside it.",A woman is taking a bath with a baby in the shower.
00235,Video-driven Audio Hallucination,Is the woman making sound in the audio?,Yes,"Yes, the woman is making sound in the audio."
00235,Video-driven Audio Hallucination,Is the food making sound in the audio?,No,"No, the food is not making sound in the audio."
00235,Audio-driven Video Hallucination,Is the woman visible in the video?,Yes,"Yes, the woman is visible in the video."
00235,AV Matching,Are the contexts of audio and visual content matching?,Yes,"Yes, the contexts of audio and visual content are matching."
01189,Video-driven Audio Hallucination,Is the lightning making sound in the audio?,Yes,"Yes, the lightning is making sound in the audio."
01189,Video-driven Audio Hallucination,Is the thunder making sound in the audio?,Yes,"Yes, the thunder is making sound in the audio."
01189,Video-driven Audio Hallucination,Is the candle making sound in the audio?,No,"No, the candle is not making sound in the audio."
01189,Video-driven Audio Hallucination,Is the night sky making sound in the audio?,No,"No, the night sky is not making sound in the audio."
01189,AV Matching,Are the contexts of audio and visual content matching?,Yes,"Yes, the contexts of audio and visual content are matching."
01189,AV Captioning,Describe what you see and hear in a single sentence.,"In the dark night, lightning strikes illuminate the sky as rain and thunder fill the air,  candlelight glow.","A video of a storm with lightning and rain, with a sound of thunder in the background."
02167,Video-driven Audio Hallucination,Is the wood making sound in the audio?,No,"Yes, the wood is making sound in the audio."
02167,Video-driven Audio Hallucination,Is the tool making sound in the audio?,No,"Yes, the tool is making sound in the audio."
02167,Audio-driven Video Hallucination,Is the people visible in the video?,No,"Yes, the people are visible in the video."
02167,Audio-driven Video Hallucination,Is the thunder visible in the video?,No,"No, the thunder is not visible in the video."
02167,AV Matching,Are the contexts of audio and visual content matching?,No,"Yes, the contexts of audio and visual content are matching."
01892,Video-driven Audio Hallucination,Is the characters making sound in the audio?,Yes,"Yes, the characters are making sound in the audio."
01892,Audio-driven Video Hallucination,Is the characters visible in the video?,Yes,"Yes, the characters are visible in the video."
01892,Audio-driven Video Hallucination,Is the music source visible in the video?,No,"No, the music source is not visible in the video."
01892,AV Matching,Are the contexts of audio and visual content matching?,Yes,"Yes, the contexts of audio and visual content are matching."
01892,AV Captioning,Describe what you see and hear in a single sentence.,"Two characters fight in the air, and the voice of the game, and the back ground music come out.",A video game with a variety of sound effects and music.
01473,AV Matching,Are the contexts of audio and visual content matching?,No,"No, the contexts of audio and visual content are not matching."
01989,AV Matching,Are the contexts of audio and visual content matching?,No,"Yes, the contexts of audio and visual content are matching."
01726,Video-driven Audio Hallucination,Is the water making sound in the audio?,Yes,"Yes, the water is making sound in the audio."
01726,Video-driven Audio Hallucination,Is the man making sound in the audio?,No,"Yes, the man is making sound in the audio."
01726,Video-driven Audio Hallucination,Is the puppy making sound in the audio?,No,"Yes, the puppy is making sound in the audio."
01726,Audio-driven Video Hallucination,Is the water visible in the video?,Yes,"Yes, the water is visible in the video."
01726,Audio-driven Video Hallucination,Is the talking woman visible in the video?,No,"No, the talking woman is not visible in the video."
01726,AV Matching,Are the contexts of audio and visual content matching?,Yes,"Yes, the contexts of audio and visual content are matching."
01726,AV Captioning,Describe what you see and hear in a single sentence.,"In a blue sea, the puppy, summoned by a woman, broke free from the man and swam out of the water.","A man and a dog are standing in the water, with the dog splashing around."
00928,Video-driven Audio Hallucination,Is the race track making sound in the audio?,No,"Yes, the race track is making sound in the audio."
00928,Video-driven Audio Hallucination,Is the vehicle making sound in the audio?,No,"Yes, the vehicle is making sound in the audio."
00928,Audio-driven Video Hallucination,Is the jet engine visible in the video?,No,"No, the jet engine is not visible in the video."
00928,AV Matching,Are the contexts of audio and visual content matching?,Yes,"No, the contexts of audio and visual content are not matching."
01108,Video-driven Audio Hallucination,Is the compressed air making sound in the audio?,Yes,"Yes, the compressed air is making sound in the audio."
01108,Video-driven Audio Hallucination,Is the bicycle making sound in the audio?,No,"No, the audio does not contain a bicycle making sound."
01108,Video-driven Audio Hallucination,Is the car making sound in the audio?,No,"Yes, the car is making sound in the audio."
01108,Audio-driven Video Hallucination,Is the compressed air visible in the video?,Yes,"Yes, the compressed air is visible in the video."
01108,Audio-driven Video Hallucination,Is the man visible in the video?,No,"Yes, the man is visible in the video."
01108,AV Matching,Are the contexts of audio and visual content matching?,Yes,"No, the contexts of audio and visual content are not matching."
01108,AV Captioning,Describe what you see and hear in a single sentence.,A man paints a wooden surfboard red and blue in a garage while compressed air sprays and wood clanks in the background.,A man is painting a car with a spray gun.
00142,AV Matching,Are the contexts of audio and visual content matching?,No,"Yes, the contexts of audio and visual content are matching."
01255,AV Matching,Are the contexts of audio and visual content matching?,No,"Yes, the contexts of audio and visual content are matching."
00947,Video-driven Audio Hallucination,Is the machine making sound in the audio?,No,"Yes, the machine is making sound in the audio."
00947,Video-driven Audio Hallucination,Is the wood making sound in the audio?,No,"Yes, the wood is making sound in the audio."
00947,Audio-driven Video Hallucination,Is the wind visible in the video?,No,"No, the wind is not visible in the video."
00947,AV Matching,Are the contexts of audio and visual content matching?,No,"Yes, the contexts of audio and visual content are matching."
00933,Video-driven Audio Hallucination,Is the insects making sound in the audio?,Yes,"Yes, the insects are making sound in the audio."
00933,Video-driven Audio Hallucination,Is the wooden box making sound in the audio?,No,"Yes, the wooden box is making sound in the audio."
00933,Video-driven Audio Hallucination,Is the beehive making sound in the audio?,No,"Yes, the beehive is making sound in the audio."
00933,Audio-driven Video Hallucination,Is the insects visible in the video?,Yes,"Yes, the insects are visible in the video."
00933,Audio-driven Video Hallucination,Is the person visible in the video?,No,"Yes, the person is visible in the video."
00933,AV Matching,Are the contexts of audio and visual content matching?,Yes,"Yes, the contexts of audio and visual content are matching."
00933,AV Captioning,Describe what you see and hear in a single sentence.,"In a garden, a person speaks with the buzzing of nearby insects while a wooden box with bees on top of it sits nearby.",A man is standing next to a wooden box filled with bees.
02174,Video-driven Audio Hallucination,Is the water making sound in the audio?,Yes,"Yes, the water is making sound in the audio."
02174,Video-driven Audio Hallucination,Is the man making sound in the audio?,Yes,"Yes, the man is making sound in the audio."
02174,Video-driven Audio Hallucination,Is the plastic bag making sound in the audio?,No,"Yes, the plastic bag is making sound in the audio."
02174,AV Matching,Are the contexts of audio and visual content matching?,Yes,"Yes, the contexts of audio and visual content are matching."
02174,AV Captioning,Describe what you see and hear in a single sentence.,"With the sound of the water and the rustling of the conversation, a man in a gray coat squatted and spoke, and water spilled over the grey cloth toward the plastic bag in the forest.",A man is sitting near a stream and talking on a phone while a bird chirps in the background.
00373,Video-driven Audio Hallucination,Is the cabinets making sound in the audio?,No,"No, the cabinets are not making sound in the audio."
00373,Video-driven Audio Hallucination,Is the refrigerator making sound in the audio?,No,"Yes, the refrigerator is making sound in the audio."
00373,Audio-driven Video Hallucination,Is the man talking visible in the video?,No,"No, the man talking is not visible in the video."
00373,Audio-driven Video Hallucination,Is the person walking visible in the video?,No,"No, the person walking is not visible in the video."
00373,AV Matching,Are the contexts of audio and visual content matching?,Yes,"Yes, the contexts of audio and visual content are matching."
00373,AV Captioning,Describe what you see and hear in a single sentence.,"The sound of footsteps approaching a sliding door, followed by a man speaking, then the door creaking shut, in a small kitchen with white cabinets and a refrigerator.and towels also.",A white kitchen with a washing machine and a door.
02237,Video-driven Audio Hallucination,Is the bamboo forest making sound in the audio?,No,"Yes, the bamboo forest is making sound in the audio."
02237,Video-driven Audio Hallucination,Is the wind chime making sound in the audio?,No,"Yes, the wind chime is making sound in the audio."
02237,Audio-driven Video Hallucination,Is the man visible in the video?,No,"Yes, the man is visible in the video."
02237,Audio-driven Video Hallucination,Is the water visible in the video?,No,"Yes, the water is visible in the video."
02237,AV Matching,Are the contexts of audio and visual content matching?,No,"Yes, the contexts of audio and visual content are matching."
02173,Video-driven Audio Hallucination,Is the square boxes making sound in the audio?,No,"No, the square boxes are not making sound in the audio."
02173,Video-driven Audio Hallucination,Is the man making sound in the audio?,No,"Yes, the man is making sound in the audio."
02173,Audio-driven Video Hallucination,Is the train visible in the video?,No,"No, the train is not visible in the video."
02173,AV Matching,Are the contexts of audio and visual content matching?,No,"Yes, the contexts of audio and visual content are matching."
02098,Video-driven Audio Hallucination,Is the wolf making sound in the audio?,Yes,"Yes, the wolf is making sound in the audio."
02098,Video-driven Audio Hallucination,Is the tie making sound in the audio?,No,"No, the tie is not making sound in the audio."
02098,AV Matching,Are the contexts of audio and visual content matching?,Yes,"Yes, the contexts of audio and visual content are matching."
02098,AV Captioning,Describe what you see and hear in a single sentence.,"There was a little brown gray wolf with a blue tie on his neck,  jumping around and around, his mouth still rattling.",A cartoon dog with a tie and a tie is wagging its tail.
00136,AV Matching,Are the contexts of audio and visual content matching?,No,"Yes, the contexts of audio and visual content are matching."
01077,Video-driven Audio Hallucination,Is the cup making sound in the audio?,No,"Yes, the cup is making sound in the audio."
01077,Video-driven Audio Hallucination,Is the kitchen making sound in the audio?,No,"Yes, the kitchen is making sound in the audio."
01077,Video-driven Audio Hallucination,Is the counter making sound in the audio?,No,"Yes, the counter is making sound in the audio."
01077,Audio-driven Video Hallucination,Is the cup visible in the video?,No,"Yes, the cup is visible in the video."
01077,Audio-driven Video Hallucination,Is the man visible in the video?,Yes,"Yes, the man is visible in the video."
01077,AV Matching,Are the contexts of audio and visual content matching?,Yes,"Yes, the contexts of audio and visual content are matching."
01077,AV Captioning,Describe what you see and hear in a single sentence.,"The man's voice is drowned out by the banging and rattling as he pours a drink into a pot of food in a bowl of water, while someone else pours liquid from a blender into a blow filled with milk, ice, and other foods on the counter.","A man is cooking food in a pot on a stove, with steam rising from the pot."
00602,Video-driven Audio Hallucination,Is the table making sound in the audio?,No,"Yes, the table is making sound in the audio."
00602,Video-driven Audio Hallucination,Is the wooden board making sound in the audio?,No,"Yes, the wooden board is making sound in the audio."
00602,Audio-driven Video Hallucination,Is the model train visible in the video?,No,"No, the model train is not visible in the video."
00602,Audio-driven Video Hallucination,Is the person visible in the video?,No,"Yes, the person is visible in the video."
00602,AV Matching,Are the contexts of audio and visual content matching?,No,"Yes, the contexts of audio and visual content are matching."
00196,Audio-driven Video Hallucination,Is the woman visible in the video?,No,"No, the woman is not visible in the video."
00196,AV Matching,Are the contexts of audio and visual content matching?,Yes,"Yes, the contexts of audio and visual content are matching."
00196,AV Captioning,Describe what you see and hear in a single sentence.,"In the video, a woman is heard breathing heavily, sneezing twice, and sniffing her nose, in the dark room.",A person is talking on a phone while a dog barks in the background.
01515,AV Matching,Are the contexts of audio and visual content matching?,No,"Yes, the contexts of audio and visual content are matching."
01234,Video-driven Audio Hallucination,Is the keyboard making sound in the audio?,Yes,"Yes, the keyboard is making sound in the audio."
01234,Video-driven Audio Hallucination,Is the computer making sound in the audio?,No,"Yes, the computer is making sound in the audio."
01234,Video-driven Audio Hallucination,Is the mouse making sound in the audio?,No,"Yes, the mouse is making sound in the audio."
01234,Audio-driven Video Hallucination,Is the keyboard visible in the video?,Yes,"Yes, the keyboard is visible in the video."
01234,Audio-driven Video Hallucination,Is the None visible in the video?,No,"Yes, the None is visible in the video."
01234,AV Matching,Are the contexts of audio and visual content matching?,Yes,"Yes, the contexts of audio and visual content are matching."
01234,AV Captioning,Describe what you see and hear in a single sentence.,A person types on the keyboard of a black computer while pointing their finger at it and drinking a coffee.,A man is typing on a computer keyboard with a mouse in a room with a desk and computer.
01501,Video-driven Audio Hallucination,Is the paper making sound in the audio?,No,"No, the paper is not making sound in the audio."
01501,Video-driven Audio Hallucination,Is the typewriter making sound in the audio?,No,"Yes, the typewriter is making sound in the audio."
01501,Audio-driven Video Hallucination,Is the water visible in the video?,No,"No, the water is not visible in the video."
01501,Audio-driven Video Hallucination,Is the baby visible in the video?,No,"No, the baby is not visible in the video."
01501,AV Matching,Are the contexts of audio and visual content matching?,No,"Yes, the contexts of audio and visual content are matching."
02301,Video-driven Audio Hallucination,Is the man with a baseball bat making sound in the audio?,No,"No, the man with a baseball bat is not making sound in the audio."
02301,Video-driven Audio Hallucination,Is the car making sound in the audio?,No,"Yes, the car is making sound in the audio."
02301,Audio-driven Video Hallucination,Is the power tool visible in the video?,No,"Yes, the power tool is visible in the video."
02301,AV Matching,Are the contexts of audio and visual content matching?,No,"No, the contexts of audio and visual content are not matching."
00190,AV Matching,Are the contexts of audio and visual content matching?,No,"No, the contexts of audio and visual content are not matching."
01440,Video-driven Audio Hallucination,Is the man making sound in the audio?,Yes,"Yes, the man is making sound in the audio."
01440,Video-driven Audio Hallucination,Is the pan making sound in the audio?,Yes,"Yes, the pan is making sound in the audio."
01440,Video-driven Audio Hallucination,Is the kitchen counter making sound in the audio?,No,"Yes, the kitchen counter is making sound in the audio."
01440,Video-driven Audio Hallucination,Is the bowl making sound in the audio?,No,"No, the bowl is not making sound in the audio."
01440,AV Matching,Are the contexts of audio and visual content matching?,Yes,"Yes, the contexts of audio and visual content are matching."
01440,AV Captioning,Describe what you see and hear in a single sentence.,"A man cooks and talks, then prepares to put the contents of the bowl in, and the pan hisses in they kitchen so many items is there.",A man is cooking in a kitchen with a stove and various utensils.
01195,Video-driven Audio Hallucination,Is the toilet making sound in the audio?,Yes,"Yes, the toilet is making sound in the audio."
01195,AV Matching,Are the contexts of audio and visual content matching?,Yes,"Yes, the contexts of audio and visual content are matching."
01195,AV Captioning,Describe what you see and hear in a single sentence.,The soothing sound of a toilet flushing harmonizes with the sight of a white toilet bowl filled with dirty water in a small bathroom.,A person is flushing a toilet in a bathroom.
01647,Video-driven Audio Hallucination,Is the ocean making sound in the audio?,No,"Yes, the ocean is making sound in the audio."
01647,Video-driven Audio Hallucination,Is the grass making sound in the audio?,No,"No, the grass is not making sound in the audio."
01647,Audio-driven Video Hallucination,Is the crowd visible in the video?,No,"No, the crowd is not visible in the video."
01647,Audio-driven Video Hallucination,Is the truck visible in the video?,No,"No, the truck is not visible in the video."
01647,AV Matching,Are the contexts of audio and visual content matching?,No,"Yes, the contexts of audio and visual content are matching."
01936,Video-driven Audio Hallucination,Is the text making sound in the audio?,No,"No, the text is not making sound in the audio."
01936,AV Matching,Are the contexts of audio and visual content matching?,Yes,"No, the contexts of audio and visual content are not matching."
01936,AV Captioning,Describe what you see and hear in a single sentence.,A video with a black background shows two English sentences as the music plays.,"The video shows a black screen with a white text ""We Create"" and a white text ""We Create"" on top of each other."
00563,Video-driven Audio Hallucination,Is the shoes making sound in the audio?,No,"Yes, the shoes are making sound in the audio."
00563,Video-driven Audio Hallucination,Is the toys making sound in the audio?,No,"Yes, the toys are making sound in the audio."
00563,Audio-driven Video Hallucination,Is the car visible in the video?,No,"No, the car is not visible in the video."
00563,AV Matching,Are the contexts of audio and visual content matching?,Yes,"No, the contexts of audio and visual content are not matching. The audio is a sound effect of a car driving, while the visual is a video of a woman and a child playing with a chair."
00773,Video-driven Audio Hallucination,Is the video game map making sound in the audio?,No,"Yes, the video game map is making sound in the audio."
00773,Audio-driven Video Hallucination,Is the man visible in the video?,No,"No, the man is not visible in the video."
00773,AV Matching,Are the contexts of audio and visual content matching?,Yes,"Yes, the contexts of audio and visual content are matching."
00773,AV Captioning,Describe what you see and hear in a single sentence.,"In the immersive  of the video game, a man's voice guides with thumps and clicks, accompanied by faint grunts, as the map unfolds in the campaign.",A video game with a red background and a person walking through a cave with a sword in hand.
00175,Video-driven Audio Hallucination,Is the child making sound in the audio?,Yes,"Yes, the child is making sound in the audio."
00175,Video-driven Audio Hallucination,Is the small house making sound in the audio?,No,"Yes, the small house is making sound in the audio."
00175,Video-driven Audio Hallucination,Is the toys making sound in the audio?,No,"Yes, the toys are making sound in the audio."
00175,Audio-driven Video Hallucination,Is the child visible in the video?,Yes,"Yes, the child is visible in the video."
00175,Audio-driven Video Hallucination,Is the man visible in the video?,No,"No, the man is not visible in the video."
00175,Audio-driven Video Hallucination,Is the woman visible in the video?,No,"Yes, the woman is visible in the video."
00175,AV Matching,Are the contexts of audio and visual content matching?,Yes,"Yes, the contexts of audio and visual content are matching."
00175,AV Captioning,Describe what you see and hear in a single sentence.,"In a small room filled with toys, a young girl plays joyfully as a woman talks and a man shouts in the background, creating a lively atmosphere of laughter and excitement.",A young girl is playing with a toy in a room while a baby is crying.
00823,Video-driven Audio Hallucination,Is the road making sound in the audio?,No,"No, the road is not making sound in the audio."
00823,Video-driven Audio Hallucination,Is the vehicle making sound in the audio?,No,"Yes, the vehicle is making sound in the audio."
00823,Audio-driven Video Hallucination,Is the instruments visible in the video?,No,"No, the instruments are not visible in the video."
00823,AV Matching,Are the contexts of audio and visual content matching?,No,"No, the contexts of audio and visual content are not matching. The audio is a sound effect of a car driving, but the visual is a video of a car driving on a street."
01197,Video-driven Audio Hallucination,Is the photo of lamb making sound in the audio?,No,"No, the photo of lamb is not making sound in the audio."
01197,Audio-driven Video Hallucination,Is the men visible in the video?,No,"No, the men are not visible in the video."
01197,AV Matching,Are the contexts of audio and visual content matching?,Yes,"Yes, the contexts of audio and visual content are matching."
01197,AV Captioning,Describe what you see and hear in a single sentence.,Two men discussing on the phone while a small white lamb stands next to a fence.,A white goat is standing in a fenced area.
00485,Video-driven Audio Hallucination,Is the woman making sound in the audio?,No,"Yes, the woman is making sound in the audio."
00485,Video-driven Audio Hallucination,Is the closet making sound in the audio?,No,"No, the closet is not making sound in the audio."
00485,Video-driven Audio Hallucination,Is the bed making sound in the audio?,No,"Yes, the bed is making sound in the audio."
00485,AV Matching,Are the contexts of audio and visual content matching?,Yes,"Yes, the contexts of audio and visual content are matching."
00485,AV Captioning,Describe what you see and hear in a single sentence.,"In a small bedroom with a bed and closet, a young girl in a pink dress stands while clattering and banging occur, as a strong breeze blows through the wind.",A young girl is running through a room with a dog and a cat.
00232,Video-driven Audio Hallucination,Is the clothes making sound in the audio?,No,"No, the clothes are not making sound in the audio."
00232,Video-driven Audio Hallucination,Is the laptop making sound in the audio?,No,"Yes, the laptop is making sound in the audio."
00232,Audio-driven Video Hallucination,Is the bells visible in the video?,No,"No, the bells are not visible in the video."
00232,AV Matching,Are the contexts of audio and visual content matching?,No,"No, the contexts of audio and visual content are not matching."
00642,AV Matching,Are the contexts of audio and visual content matching?,No,"Yes, the contexts of audio and visual content are matching."
00375,Video-driven Audio Hallucination,Is the dog making sound in the audio?,Yes,"Yes, the dog is making sound in the audio."
00375,Video-driven Audio Hallucination,Is the duck making sound in the audio?,Yes,"Yes, the duck is making sound in the audio."
00375,Video-driven Audio Hallucination,Is the grass making sound in the audio?,No,"No, the grass is not making sound in the audio."
00375,Audio-driven Video Hallucination,Is the dog visible in the video?,Yes,"Yes, the dog is visible in the video."
00375,Audio-driven Video Hallucination,Is the duck visible in the video?,Yes,"Yes, the duck is visible in the video."
00375,Audio-driven Video Hallucination,Is the glass visible in the video?,No,"No, the glass is not visible in the video."
00375,Audio-driven Video Hallucination,Is the birds visible in the video?,No,"Yes, birds are visible in the video."
00375,AV Matching,Are the contexts of audio and visual content matching?,Yes,"Yes, the contexts of audio and visual content are matching."
00375,AV Captioning,Describe what you see and hear in a single sentence.,"In a green field, a small dog chases a duck while a film projector runs, capturing the playful symphony of quacks, whimpers, and chirps.",A dog and a duck are playing in a grassy yard.
00701,Video-driven Audio Hallucination,Is the train making sound in the audio?,Yes,"Yes, the train is making sound in the audio."
00701,Video-driven Audio Hallucination,Is the train station making sound in the audio?,No,"Yes, the train station is making sound in the audio."
00701,Video-driven Audio Hallucination,Is the platform making sound in the audio?,No,"Yes, the platform is making sound in the audio."
00701,AV Matching,Are the contexts of audio and visual content matching?,Yes,"No, the contexts of audio and visual content are not matching."
00701,AV Captioning,Describe what you see and hear in a single sentence.,"As a silver train passes by a platform at the train station, the honk echoes through the air accompanied by loud gusts of wind.",A train is passing by on a track with a man standing nearby.
00367,Video-driven Audio Hallucination,Is the ring making sound in the audio?,No,"No, the ring is not making sound in the audio."
00367,Video-driven Audio Hallucination,Is the woman making sound in the audio?,No,"Yes, the woman is making sound in the audio."
00367,Audio-driven Video Hallucination,Is the sparks visible in the video?,No,"No, the sparks are not visible in the video."
00367,AV Matching,Are the contexts of audio and visual content matching?,No,"Yes, the contexts of audio and visual content are matching."
01191,Video-driven Audio Hallucination,Is the motorcycle engine making sound in the audio?,Yes,"Yes, the motorcycle engine is making sound in the audio."
01191,Video-driven Audio Hallucination,Is the man making sound in the audio?,Yes,"Yes, the man is making sound in the audio."
01191,Video-driven Audio Hallucination,Is the forest making sound in the audio?,No,"No, the forest is not making sound in the audio."
01191,Video-driven Audio Hallucination,Is the helmet making sound in the audio?,No,"No, the helmet is not making sound in the audio."
01191,AV Matching,Are the contexts of audio and visual content matching?,Yes,"Yes, the contexts of audio and visual content are matching."
01191,AV Captioning,Describe what you see and hear in a single sentence.,"The forest echoes with the humming of engines as people ride through on various vehicles,  dirt bikes, and motorcycles.",A man rides a quad bike through a forest.
01757,Video-driven Audio Hallucination,Is the girls making sound in the audio?,No,"Yes, the girls are making sound in the audio."
